SubCategory,Group 1,Value Column Name,Value
"Projectors & Screens","Revenue","Sales","5946536"
"Projectors & Screens","Revenue","PY Sales","4973970"
"Projectors & Screens","Revenue","YoY Sales","972566"
"Projectors & Screens","Revenue","YoY Sales %","19.553113508927478"
"Projectors & Screens","Profitability","Margin","1434962"
"Projectors & Screens","Profitability","Margin %","24.131057139820562"
"Projectors & Screens","Revenue","Forecast","8741407.92"
"Projectors & Screens","Customer","Total Customers","1265"
"Home Theater System","Revenue","Sales","3926882"
"Home Theater System","Revenue","PY Sales","3163421"
"Home Theater System","Revenue","YoY Sales","763461"
"Home Theater System","Revenue","YoY Sales %","24.13403084824941"
"Home Theater System","Profitability","Margin","3926882"
"Home Theater System","Profitability","Margin %","100"
"Home Theater System","Revenue","Forecast","4123226.1"
"Home Theater System","Customer","Total Customers","1217"
"Laptops","Revenue","Sales","3771912"
"Laptops","Revenue","PY Sales","3103742"
"Laptops","Revenue","YoY Sales","668170"
"Laptops","Revenue","YoY Sales %","21.527884727532122"
"Laptops","Profitability","Margin","1061832"
"Laptops","Profitability","Margin %","28.151027913694698"
"Laptops","Revenue","Forecast","4677170.88"
"Laptops","Customer","Total Customers","1003"
"Washers & Dryers","Revenue","Sales","3334038"
"Washers & Dryers","Revenue","PY Sales","1754519"
"Washers & Dryers","Revenue","YoY Sales","1579519"
"Washers & Dryers","Revenue","YoY Sales %","90.02575634689622"
"Washers & Dryers","Profitability","Margin","320658"
"Washers & Dryers","Profitability","Margin %","9.617706816778933"
"Washers & Dryers","Revenue","Forecast","4700993.58"
"Washers & Dryers","Customer","Total Customers","480"
"Televisions","Revenue","Sales","2663603"
"Televisions","Revenue","PY Sales","2148775"
"Televisions","Revenue","YoY Sales","514828"
"Televisions","Revenue","YoY Sales %","23.959139509720657"
"Televisions","Profitability","Margin","2663603"
"Televisions","Profitability","Margin %","100"
"Televisions","Revenue","Forecast","2796783.15"
"Televisions","Customer","Total Customers","679"
"Monitors","Revenue","Sales","2155865"
"Monitors","Revenue","PY Sales","1732074"
"Monitors","Revenue","YoY Sales","423791"
"Monitors","Revenue","YoY Sales %","24.467257172615025"
"Monitors","Profitability","Margin","37065"
"Monitors","Profitability","Margin %","1.719263497482449"
"Monitors","Revenue","Forecast","258703.8"
"Monitors","Customer","Total Customers","1069"
"Camcorders","Revenue","Sales","2048841"
"Camcorders","Revenue","PY Sales","1081389"
"Camcorders","Revenue","YoY Sales","967452"
"Camcorders","Revenue","YoY Sales %","89.46382846505743"
"Camcorders","Profitability","Margin","2048841"
"Camcorders","Profitability","Margin %","100"
"Camcorders","Revenue","Forecast","3196191.96"
"Camcorders","Customer","Total Customers","642"
"Refrigerators","Revenue","Sales","2001381"
"Refrigerators","Revenue","PY Sales","1047898"
"Refrigerators","Revenue","YoY Sales","953483"
"Refrigerators","Revenue","YoY Sales %","90.99005819268669"
"Refrigerators","Profitability","Margin","-725219"
"Refrigerators","Profitability","Margin %","-36.23592909096269"
"Refrigerators","Revenue","Forecast","1240856.22"
"Refrigerators","Customer","Total Customers","593"
"Desktops","Revenue","Sales","1693109"
"Desktops","Revenue","PY Sales","1426735"
"Desktops","Revenue","YoY Sales","266374"
"Desktops","Revenue","YoY Sales %","18.670180517054675"
"Desktops","Profitability","Margin","267437"
"Desktops","Profitability","Margin %","15.795616230260427"
"Desktops","Revenue","Forecast","355552.89"
"Desktops","Customer","Total Customers","703"
"Car Video","Revenue","Sales","1360357"
"Car Video","Revenue","PY Sales","1110043"
"Car Video","Revenue","YoY Sales","250314"
"Car Video","Revenue","YoY Sales %","22.549937254682927"
"Car Video","Profitability","Margin","1360357"
"Car Video","Profitability","Margin %","100"
"Car Video","Revenue","Forecast","1428374.85"
"Car Video","Customer","Total Customers","680"
"Printers, Scanners & Fax","Revenue","Sales","1219935"
