Category,SubCategory,Value Column Name,Value
"Computers","Computers Accessories","Rank","6"
"Computers","Computers Accessories","Sales","127806"
"Computers","Computers Accessories","Margin","-18234"
"Computers","Computers Accessories","Margin %","-14.266935824609174"
"Computers","Computers Accessories","Total Customers","654"
"Computers","Desktops","Rank","3"
"Computers","Desktops","Sales","266374"
"Computers","Desktops","Margin","23224"
"Computers","Desktops","Margin %","8.718568629070404"
"Computers","Desktops","Total Customers","184"
"Computers","Laptops","Rank","1"
"Computers","Laptops","Sales","668170"
"Computers","Laptops","Margin","181170"
"Computers","Laptops","Margin %","27.11435712468384"
"Computers","Laptops","Total Customers","301"
"Computers","Monitors","Rank","5"
"Computers","Monitors","Sales","423791"
"Computers","Monitors","Margin","-769"
"Computers","Monitors","Margin %","-0.1814573693164791"
"Computers","Monitors","Total Customers","327"
"Computers","Printers, Scanners & Fax","Rank","4"
"Computers","Printers, Scanners & Fax","Sales","219277"
"Computers","Printers, Scanners & Fax","Margin","592"
"Computers","Printers, Scanners & Fax","Margin %","0.26997815548370324"
"Computers","Printers, Scanners & Fax","Total Customers","379"
"Computers","Projectors & Screens","Rank","2"
"Computers","Projectors & Screens","Sales","972566"
"Computers","Projectors & Screens","Margin","211256"
"Computers","Projectors & Screens","Margin %","21.721507846254134"
"Computers","Projectors & Screens","Total Customers","382"
"Home Appliances","Air Conditioners","Rank","2"
"Home Appliances","Air Conditioners","Sales","252718"
"Home Appliances","Air Conditioners","Margin","137824"
"Home Appliances","Air Conditioners","Margin %","54.53667724499244"
"Home Appliances","Air Conditioners","Total Customers","216"
"Home Appliances","Coffee Machines","Rank","6"
"Home Appliances","Coffee Machines","Sales","475878"
"Home Appliances","Coffee Machines","Margin","-11149.5"
"Home Appliances","Coffee Machines","Margin %","-2.3429324322620504"
"Home Appliances","Coffee Machines","Total Customers","251"
"Home Appliances","Fans","Rank","8"
"Home Appliances","Fans","Sales","83370"
"Home Appliances","Fans","Margin","-38643"
"Home Appliances","Fans","Margin %","-46.35120546959338"
"Home Appliances","Fans","Total Customers","287"
"Home Appliances","Lamps","Rank","1"
"Home Appliances","Lamps","Sales","470833"
"Home Appliances","Lamps","Margin","340307"
"Home Appliances","Lamps","Margin %","72.2776440903675"
"Home Appliances","Lamps","Total Customers","548"
"Home Appliances","Microwaves","Rank","5"
"Home Appliances","Microwaves","Sales","319179"
"Home Appliances","Microwaves","Margin","14301"
"Home Appliances","Microwaves","Margin %","4.480557931442858"
"Home Appliances","Microwaves","Total Customers","375"
"Home Appliances","Refrigerators","Rank","7"
"Home Appliances","Refrigerators","Sales","953483"
"Home Appliances","Refrigerators","Margin","-350567"
"Home Appliances","Refrigerators","Margin %","-36.7669900774319"
"Home Appliances","Refrigerators","Total Customers","331"
"Home Appliances","Washers & Dryers","Rank","4"
"Home Appliances","Washers & Dryers","Sales","1579519"
"Home Appliances","Washers & Dryers","Margin","196825"
"Home Appliances","Washers & Dryers","Margin %","12.461072009896684"
"Home Appliances","Washers & Dryers","Total Customers","247"
"Home Appliances","Water Heaters","Rank","3"
"Home Appliances","Water Heaters","Sales","443343"
"Home Appliances","Water Heaters","Margin","94593"
"Home Appliances","Water Heaters","Margin %","21.336301689662406"
"Home Appliances","Water Heaters","Total Customers","152"
