SubCategory,ProductName,Value Column Name,Value
"Washers & Dryers","Contoso Washer & Dryer 27in L270","Sales","243984"
"Washers & Dryers","Contoso Washer & Dryer 27in L270","Margin","80490"
"Washers & Dryers","Contoso Washer & Dryer 27in L270","Margin %","32.98986818807791"
"Washers & Dryers","Contoso Washer & Dryer 27in L270","Total Customers","31"
"Washers & Dryers","Contoso Washer & Dryer 27in L270","Margin % (Calculated)","0.3298986818807791"
"Washers & Dryers","Contoso Washer & Dryer 24in M240","Sales","149076"
"Washers & Dryers","Contoso Washer & Dryer 24in M240","Margin","-1404"
"Washers & Dryers","Contoso Washer & Dryer 24in M240","Margin %","-0.941801497222893"
"Washers & Dryers","Contoso Washer & Dryer 24in M240","Total Customers","29"
"Washers & Dryers","Contoso Washer & Dryer 24in M240","Margin % (Calculated)","-0.00941801497222893"
"Washers & Dryers","Contoso Washer & Dryer 25.5in M255","Sales","143208"
"Washers & Dryers","Contoso Washer & Dryer 25.5in M255","Margin","5958"
"Washers & Dryers","Contoso Washer & Dryer 25.5in M255","Margin %","4.1603821015585725"
"Washers & Dryers","Contoso Washer & Dryer 25.5in M255","Total Customers","25"
"Washers & Dryers","Contoso Washer & Dryer 25.5in M255","Margin % (Calculated)","0.04160382101558572"
"Washers & Dryers","NT Washer & Dryer 27in L2700","Sales","132650"
"Washers & Dryers","NT Washer & Dryer 27in L2700","Margin","48266"
"Washers & Dryers","NT Washer & Dryer 27in L2700","Margin %","36.38597813795703"
"Washers & Dryers","NT Washer & Dryer 27in L2700","Total Customers","16"
"Washers & Dryers","NT Washer & Dryer 27in L2700","Margin % (Calculated)","0.3638597813795703"
"Washers & Dryers","Litware Washer & Dryer 24in M260","Sales","123624"
"Washers & Dryers","Litware Washer & Dryer 24in M260","Margin","13272"
"Washers & Dryers","Litware Washer & Dryer 24in M260","Margin %","10.735779460298971"
"Washers & Dryers","Litware Washer & Dryer 24in M260","Total Customers","22"
"Washers & Dryers","Litware Washer & Dryer 24in M260","Margin % (Calculated)","0.1073577946029897"
"Washers & Dryers","NT Washer & Dryer 21in E2100","Sales","112000"
"Washers & Dryers","NT Washer & Dryer 21in E2100","Margin","23872"
"Washers & Dryers","NT Washer & Dryer 21in E2100","Margin %","21.314285714285713"
"Washers & Dryers","NT Washer & Dryer 21in E2100","Total Customers","18"
"Washers & Dryers","NT Washer & Dryer 21in E2100","Margin % (Calculated)","0.21314285714285713"
"Washers & Dryers","Contoso Washer & Dryer 21in E210","Sales","107133"
"Washers & Dryers","Contoso Washer & Dryer 21in E210","Margin","-447"
"Washers & Dryers","Contoso Washer & Dryer 21in E210","Margin %","-0.4172383859315057"
"Washers & Dryers","Contoso Washer & Dryer 21in E210","Total Customers","22"
"Washers & Dryers","Contoso Washer & Dryer 21in E210","Margin % (Calculated)","-0.004172383859315057"
"Washers & Dryers","NT Washer & Dryer 25.5in M2550","Sales","101490"
"Washers & Dryers","NT Washer & Dryer 25.5in M2550","Margin","13650"
"Washers & Dryers","NT Washer & Dryer 25.5in M2550","Margin %","13.449600945906"
"Washers & Dryers","NT Washer & Dryer 25.5in M2550","Total Customers","16"
"Washers & Dryers","NT Washer & Dryer 25.5in M2550","Margin % (Calculated)","0.13449600945906"
"Washers & Dryers","Litware Washer & Dryer 21in E214","Sales","100737"
"Washers & Dryers","Litware Washer & Dryer 21in E214","Margin","-6843"
"Washers & Dryers","Litware Washer & Dryer 21in E214","Margin %","-6.792936061228744"
"Washers & Dryers","Litware Washer & Dryer 21in E214","Total Customers","22"
"Washers & Dryers","Litware Washer & Dryer 21in E214","Margin % (Calculated)","-0.06792936061228744"
"Washers & Dryers","Litware Washer & Dryer 27in L420","Sales","79560"
"Washers & Dryers","Litware Washer & Dryer 27in L420","Margin","32094"
"Washers & Dryers","Litware Washer & Dryer 27in L420","Margin %","40.339366515837106"
"Washers & Dryers","Litware Washer & Dryer 27in L420","Total Customers","9"
"Washers & Dryers","Litware Washer & Dryer 27in L420","Margin % (Calculated)","0.40339366515837105"
"Washers & Dryers","Litware Washer & Dryer 25.5in M350","Sales","75582"
"Washers & Dryers","Litware Washer & Dryer 25.5in M350","Margin","-6768"
"Washers & Dryers","Litware Washer & Dryer 25.5in M350","Margin %","-8.95451297928078"
"Washers & Dryers","Litware Washer & Dryer 25.5in M350","Total Customers","15"
"Washers & Dryers","Litware Washer & Dryer 25.5in M350","Margin % (Calculated)","-0.0895451297928078"
"Washers & Dryers","NT Washer & Dryer 24in M2400","Sales","74579"
"Washers & Dryers","NT Washer & Dryer 24in M2400","Margin","-661"
"Washers & Dryers","NT Washer & Dryer 24in M2400","Margin %","-0.8863084782579547"
"Washers & Dryers","NT Washer & Dryer 24in M2400","Total Customers","15"
"Washers & Dryers","NT Washer & Dryer 24in M2400","Margin % (Calculated)","-0.008863084782579547"
"Washers & Dryers","Contoso Washer & Dryer 15.5in E155","Sales","66933"
"Washers & Dryers","Contoso Washer & Dryer 15.5in E155","Margin","2799"
"Washers & Dryers","Contoso Washer & Dryer 15.5in E155","Margin %","4.18179373403254"
"Washers & Dryers","Contoso Washer & Dryer 15.5in E155","Total Customers","21"
"Washers & Dryers","Contoso Washer & Dryer 15.5in E155","Margin % (Calculated)","0.0418179373403254"
"Washers & Dryers","Litware Washer & Dryer 15.5in E150","Sales","36963"
"Washers & Dryers","Litware Washer & Dryer 15.5in E150","Margin","-5793"
"Washers & Dryers","Litware Washer & Dryer 15.5in E150","Margin %","-15.672429185942699"
"Washers & Dryers","Litware Washer & Dryer 15.5in E150","Total Customers","13"
"Washers & Dryers","Litware Washer & Dryer 15.5in E150","Margin % (Calculated)","-0.156724291859427"
"Washers & Dryers","NT Washer & Dryer 15.5in E1550","Sales","32000"
"Washers & Dryers","NT Washer & Dryer 15.5in E1550","Margin","-1660"
"Washers & Dryers","NT Washer & Dryer 15.5in E1550","Margin %","-5.1875"
"Washers & Dryers","NT Washer & Dryer 15.5in E1550","Total Customers","11"
"Washers & Dryers","NT Washer & Dryer 15.5in E1550","Margin % (Calculated)","-0.051875"
"Projectors & Screens","Proseware Projector 1080p DLP86","Sales","144942"
"Projectors & Screens","Proseware Projector 1080p DLP86","Margin","55518"
"Projectors & Screens","Proseware Projector 1080p DLP86","Margin %","38.30359730098936"
"Projectors & Screens","Proseware Projector 1080p DLP86","Total Customers","18"
"Projectors & Screens","Proseware Projector 1080p DLP86","Margin % (Calculated)","0.3830359730098936"
"Projectors & Screens","Contoso Projector 1080p X980","Sales","105570"
"Projectors & Screens","Contoso Projector 1080p X980","Margin","37170"
"Projectors & Screens","Contoso Projector 1080p X980","Margin %","35.208866155157715"
"Projectors & Screens","Contoso Projector 1080p X980","Total Customers","15"
"Projectors & Screens","Contoso Projector 1080p X980","Margin % (Calculated)","0.35208866155157714"
"Projectors & Screens","Proseware Projector 1080p LCD86","Sales","75735"
"Projectors & Screens","Proseware Projector 1080p LCD86","Margin","21015"
"Projectors & Screens","Proseware Projector 1080p LCD86","Margin %","27.748068924539513"
"Projectors & Screens","Proseware Projector 1080p LCD86","Total Customers","12"
"Projectors & Screens","Proseware Projector 1080p LCD86","Margin % (Calculated)","0.27748068924539515"
"Projectors & Screens","Contoso Projector 1080p X981","Sales","67473"
"Projectors & Screens","Contoso Projector 1080p X981","Margin","27729"
"Projectors & Screens","Contoso Projector 1080p X981","Margin %","41.09643857543017"
"Projectors & Screens","Contoso Projector 1080p X981","Total Customers","8"
"Projectors & Screens","Contoso Projector 1080p X981","Margin % (Calculated)","0.4109643857543017"
"Projectors & Screens","Proseware Projector 720p DLP56","Sales","54945"
"Projectors & Screens","Proseware Projector 720p DLP56","Margin","13635"
"Projectors & Screens","Proseware Projector 720p DLP56","Margin %","24.815724815724817"
"Projectors & Screens","Proseware Projector 720p DLP56","Total Customers","15"
"Projectors & Screens","Proseware Projector 720p DLP56","Margin % (Calculated)","0.24815724815724816"
"Projectors & Screens","WWI Projector 1080p DLP86","Sales","47481"
"Projectors & Screens","WWI Projector 1080p DLP86","Margin","7737"
"Projectors & Screens","WWI Projector 1080p DLP86","Margin %","16.294939028242876"
"Projectors & Screens","WWI Projector 1080p DLP86","Total Customers","8"
"Projectors & Screens","WWI Projector 1080p DLP86","Margin % (Calculated)","0.16294939028242877"
"Projectors & Screens","WWI Projector 720p DLP56","Sales","41958"
"Projectors & Screens","WWI Projector 720p DLP56","Margin","3402"
"Projectors & Screens","WWI Projector 720p DLP56","Margin %","8.108108108108109"
"Projectors & Screens","WWI Projector 720p DLP56","Total Customers","14"
"Projectors & Screens","WWI Projector 720p DLP56","Margin % (Calculated)","0.08108108108108109"
"Projectors & Screens","WWI Projector 1080p LCD86","Sales","39015"
"Projectors & Screens","WWI Projector 1080p LCD86","Margin","7095"
"Projectors & Screens","WWI Projector 1080p LCD86","Margin %","18.185313341022685"
"Projectors & Screens","WWI Projector 1080p LCD86","Total Customers","7"
"Projectors & Screens","WWI Projector 1080p LCD86","Margin % (Calculated)","0.18185313341022682"
"Projectors & Screens","Contoso Projector 720p M620","Sales","36348"
"Projectors & Screens","Contoso Projector 720p M620","Margin","-2172"
"Projectors & Screens","Contoso Projector 720p M620","Margin %","-5.9755694948828"
"Projectors & Screens","Contoso Projector 720p M620","Total Customers","20"
"Projectors & Screens","Contoso Projector 720p M620","Margin % (Calculated)","-0.05975569494882799"
"Projectors & Screens","Proseware Projector 720p LCD56","Sales","32853"
"Projectors & Screens","Proseware Projector 720p LCD56","Margin","111"
"Projectors & Screens","Proseware Projector 720p LCD56","Margin %","0.3378686877910693"
"Projectors & Screens","Proseware Projector 720p LCD56","Total Customers","17"
"Projectors & Screens","Proseware Projector 720p LCD56","Margin % (Calculated)","0.003378686877910693"
"Projectors & Screens","Contoso Projector 720p M621","Sales","31968"
"Projectors & Screens","Contoso Projector 720p M621","Margin","1674"
"Projectors & Screens","Contoso Projector 720p M621","Margin %","5.236486486486487"
"Projectors & Screens","Contoso Projector 720p M621","Total Customers","11"
"Projectors & Screens","Contoso Projector 720p M621","Margin % (Calculated)","0.052364864864864864"
"Projectors & Screens","WWI Projector 720p LCD56","Sales","27960"
"Projectors & Screens","WWI Projector 720p LCD56","Margin","4848"
"Projectors & Screens","WWI Projector 720p LCD56","Margin %","17.339055793991417"
"Projectors & Screens","WWI Projector 720p LCD56","Total Customers","12"
"Projectors & Screens","WWI Projector 720p LCD56","Margin % (Calculated)","0.17339055793991417"
"Projectors & Screens","Contoso Projector 480p M481","Sales","26447"
"Projectors & Screens","Contoso Projector 480p M481","Margin","539"
"Projectors & Screens","Contoso Projector 480p M481","Margin %","2.0380383408326086"
"Projectors & Screens","Contoso Projector 480p M481","Total Customers","16"
"Projectors & Screens","Contoso Projector 480p M481","Margin % (Calculated)","0.020380383408326087"
"Projectors & Screens","WWI Projector 480p DLP12","Sales","25449"
"Projectors & Screens","WWI Projector 480p DLP12","Margin","-459"
"Projectors & Screens","WWI Projector 480p DLP12","Margin %","-1.8036072144288577"
"Projectors & Screens","WWI Projector 480p DLP12","Total Customers","17"
"Projectors & Screens","WWI Projector 480p DLP12","Margin % (Calculated)","-0.018036072144288578"
"Projectors & Screens","Contoso Screen 125in M250","Sales","20196"
"Projectors & Screens","Contoso Screen 125in M250","Margin","6516"
"Projectors & Screens","Contoso Screen 125in M250","Margin %","32.263814616755795"
"Projectors & Screens","Contoso Screen 125in M250","Total Customers","15"
"Projectors & Screens","Contoso Screen 125in M250","Margin % (Calculated)","0.3226381461675579"
"Projectors & Screens","WWI Screen 113in M1610","Sales","17641"
"Projectors & Screens","WWI Screen 113in M1610","Margin","6355"
"Projectors & Screens","WWI Screen 113in M1610","Margin %","36.0240349186554"
"Projectors & Screens","WWI Screen 113in M1610","Total Customers","17"
"Projectors & Screens","WWI Screen 113in M1610","Margin % (Calculated)","0.36024034918655407"
"Projectors & Screens","WWI Screen 125in M1611","Sales","16983"
"Projectors & Screens","WWI Screen 125in M1611","Margin","6039"
"Projectors & Screens","WWI Screen 125in M1611","Margin %","35.55908850026497"
"Projectors & Screens","WWI Screen 125in M1611","Total Customers","12"
"Projectors & Screens","WWI Screen 125in M1611","Margin % (Calculated)","0.3555908850026497"
"Projectors & Screens","Proseware Projector 480p DLP12","Sales","16966"
"Projectors & Screens","Proseware Projector 480p DLP12","Margin","1726"
"Projectors & Screens","Proseware Projector 480p DLP12","Margin %","10.173287751974538"
"Projectors & Screens","Proseware Projector 480p DLP12","Total Customers","10"
"Projectors & Screens","Proseware Projector 480p DLP12","Margin % (Calculated)","0.10173287751974537"
"Projectors & Screens","WWI Screen 106in M1609","Sales","15562"
"Projectors & Screens","WWI Screen 106in M1609","Margin","2452"
"Projectors & Screens","WWI Screen 106in M1609","Margin %","15.756329520627169"
"Projectors & Screens","WWI Screen 106in M1609","Total Customers","19"
"Projectors & Screens","WWI Screen 106in M1609","Margin % (Calculated)","0.1575632952062717"
"Projectors & Screens","Proseware Screen 125in X1609","Sales","14688"
"Projectors & Screens","Proseware Screen 125in X1609","Margin","3744"
"Projectors & Screens","Proseware Screen 125in X1609","Margin %","25.49019607843137"
"Projectors & Screens","Proseware Screen 125in X1609","Total Customers","12"
"Projectors & Screens","Proseware Screen 125in X1609","Margin % (Calculated)","0.2549019607843137"
"Projectors & Screens","Contoso Screen 113in M251","Sales","13754"
"Projectors & Screens","Contoso Screen 113in M251","Margin","1334"
"Projectors & Screens","Contoso Screen 113in M251","Margin %","9.698996655518394"
"Projectors & Screens","Contoso Screen 113in M251","Total Customers","15"
"Projectors & Screens","Contoso Screen 113in M251","Margin % (Calculated)","0.09698996655518395"
"Projectors & Screens","Contoso Screen 106in M060","Sales","11546"
"Projectors & Screens","Contoso Screen 106in M060","Margin","4076"
"Projectors & Screens","Contoso Screen 106in M060","Margin %","35.30226918413303"
"Projectors & Screens","Contoso Screen 106in M060","Total Customers","15"
"Projectors & Screens","Contoso Screen 106in M060","Margin % (Calculated)","0.35302269184133034"
"Projectors & Screens","Contoso Screen 100in E010","Sales","10640"
"Projectors & Screens","Contoso Screen 100in E010","Margin","4970"
"Projectors & Screens","Contoso Screen 100in E010","Margin %","46.71052631578947"
"Projectors & Screens","Contoso Screen 100in E010","Total Customers","15"
"Projectors & Screens","Contoso Screen 100in E010","Margin % (Calculated)","0.46710526315789475"
"Projectors & Screens","Proseware Projector 480p LCD12","Sales","10076"
"Projectors & Screens","Proseware Projector 480p LCD12","Margin","-1156"
"Projectors & Screens","Proseware Projector 480p LCD12","Margin %","-11.47280666931322"
"Projectors & Screens","Proseware Projector 480p LCD12","Total Customers","16"
"Projectors & Screens","Proseware Projector 480p LCD12","Margin % (Calculated)","-0.1147280666931322"
"Projectors & Screens","Proseware Screen 113in X1609","Sales","8073"
"Projectors & Screens","Proseware Screen 113in X1609","Margin","3915"
"Projectors & Screens","Proseware Screen 113in X1609","Margin %","48.49498327759197"
"Projectors & Screens","Proseware Screen 113in X1609","Total Customers","7"
"Projectors & Screens","Proseware Screen 113in X1609","Margin % (Calculated)","0.48494983277591974"
"Projectors & Screens","Contoso Projector 480p M480","Sales","7328"
"Projectors & Screens","Contoso Projector 480p M480","Margin","308"
"Projectors & Screens","Contoso Projector 480p M480","Margin %","4.203056768558952"
"Projectors & Screens","Contoso Projector 480p M480","Total Customers","10"
"Projectors & Screens","Contoso Projector 480p M480","Margin % (Calculated)","0.04203056768558952"
"Projectors & Screens","WWI Projector 480p LCD12","Sales","7328"
"Projectors & Screens","WWI Projector 480p LCD12","Margin","-1798"
"Projectors & Screens","WWI Projector 480p LCD12","Margin %","-24.536026200873362"
"Projectors & Screens","WWI Projector 480p LCD12","Total Customers","12"
"Projectors & Screens","WWI Projector 480p LCD12","Margin % (Calculated)","-0.24536026200873362"
"Projectors & Screens","Proseware Screen 80in E1010","Sales","6976"
"Projectors & Screens","Proseware Screen 80in E1010","Margin","-80"
"Projectors & Screens","Proseware Screen 80in E1010","Margin %","-1.146788990825688"
"Projectors & Screens","Proseware Screen 80in E1010","Total Customers","21"
"Projectors & Screens","Proseware Screen 80in E1010","Margin % (Calculated)","-0.011467889908256881"
"Projectors & Screens","Proseware Screen 85in E1010","Sales","6116"
"Projectors & Screens","Proseware Screen 85in E1010","Margin","-1126"
"Projectors & Screens","Proseware Screen 85in E1010","Margin %","-18.4107259646828"
"Projectors & Screens","Proseware Screen 85in E1010","Total Customers","17"
"Projectors & Screens","Proseware Screen 85in E1010","Margin % (Calculated)","-0.184107259646828"
"Projectors & Screens","Proseware Screen 100in M1609","Sales","5890"
"Projectors & Screens","Proseware Screen 100in M1609","Margin","-1418"
"Projectors & Screens","Proseware Screen 100in M1609","Margin %","-24.074702886247877"
