SubCategory,Category,Value Column Name,Value
"Washers & Dryers","Home Appliances","Sales","1579519"
"Washers & Dryers","Home Appliances","Margin","196825"
"Washers & Dryers","Home Appliances","Margin %","12.461072009896684"
"Washers & Dryers","Home Appliances","Forecast","2227121.79"
"Washers & Dryers","Home Appliances","Total Customers","247"
"Projectors & Screens","Computers","Sales","972566"
"Projectors & Screens","Computers","Margin","211256"
"Projectors & Screens","Computers","Margin %","21.721507846254134"
"Projectors & Screens","Computers","Forecast","1429672.02"
"Projectors & Screens","Computers","Total Customers","382"
"Refrigerators","Home Appliances","Sales","953483"
"Refrigerators","Home Appliances","Margin","-350567"
"Refrigerators","Home Appliances","Margin %","-36.7669900774319"
"Refrigerators","Home Appliances","Forecast","591159.46"
"Refrigerators","Home Appliances","Total Customers","331"
"Laptops","Computers","Sales","668170"
"Laptops","Computers","Margin","181170"
"Laptops","Computers","Margin %","27.11435712468384"
"Laptops","Computers","Forecast","828530.8"
"Laptops","Computers","Total Customers","301"
"Coffee Machines","Home Appliances","Sales","475878"
"Coffee Machines","Home Appliances","Margin","-11149.5"
"Coffee Machines","Home Appliances","Margin %","-2.3429324322620504"
"Coffee Machines","Home Appliances","Forecast","394978.74"
"Coffee Machines","Home Appliances","Total Customers","251"
"Lamps","Home Appliances","Sales","470833"
"Lamps","Home Appliances","Margin","340307"
"Lamps","Home Appliances","Margin %","72.2776440903675"
"Lamps","Home Appliances","Forecast","583832.92"
"Lamps","Home Appliances","Total Customers","548"
"Water Heaters","Home Appliances","Sales","443343"
"Water Heaters","Home Appliances","Margin","94593"
"Water Heaters","Home Appliances","Margin %","21.336301689662406"
"Water Heaters","Home Appliances","Forecast","669447.93"
"Water Heaters","Home Appliances","Total Customers","152"
"Monitors","Computers","Sales","423791"
"Monitors","Computers","Margin","-769"
"Monitors","Computers","Margin %","-0.1814573693164791"
"Monitors","Computers","Forecast","50854.92"
"Monitors","Computers","Total Customers","327"
"Microwaves","Home Appliances","Sales","319179"
"Microwaves","Home Appliances","Margin","14301"
"Microwaves","Home Appliances","Margin %","4.480557931442858"
"Microwaves","Home Appliances","Forecast","150014.13"
"Microwaves","Home Appliances","Total Customers","375"
"Desktops","Computers","Sales","266374"
"Desktops","Computers","Margin","23224"
"Desktops","Computers","Margin %","8.718568629070404"
"Desktops","Computers","Forecast","55938.54"
"Desktops","Computers","Total Customers","184"
"Air Conditioners","Home Appliances","Sales","252718"
"Air Conditioners","Home Appliances","Margin","137824"
"Air Conditioners","Home Appliances","Margin %","54.53667724499244"
"Air Conditioners","Home Appliances","Forecast","265353.9"
"Air Conditioners","Home Appliances","Total Customers","216"
"Printers, Scanners & Fax","Computers","Sales","219277"
"Printers, Scanners & Fax","Computers","Margin","592"
"Printers, Scanners & Fax","Computers","Margin %","0.26997815548370324"
"Printers, Scanners & Fax","Computers","Forecast","471445.55"
"Printers, Scanners & Fax","Computers","Total Customers","379"
"Computers Accessories","Computers","Sales","127806"
"Computers Accessories","Computers","Margin","-18234"
"Computers Accessories","Computers","Margin %","-14.266935824609174"
"Computers Accessories","Computers","Forecast","60068.82"
"Computers Accessories","Computers","Total Customers","654"
"Fans","Home Appliances","Sales","83370"
"Fans","Home Appliances","Margin","-38643"
"Fans","Home Appliances","Margin %","-46.35120546959338"
"Fans","Home Appliances","Forecast","87538.5"
"Fans","Home Appliances","Total Customers","287"
