Account 1,Account 2,Group 1,Value Column Name,Value
"Shares used in computing earnings per share:","Diluted","Years ended","September 25, 2021","16864919"
"Shares used in computing earnings per share:","Diluted","Years ended","September 26, 2020","17528214"
"Shares used in computing earnings per share:","Diluted","Years ended","September 28, 2019","18595651"
"Shares used in computing earnings per share:","Basic","Years ended","September 25, 2021","16701272"
"Shares used in computing earnings per share:","Basic","Years ended","September 26, 2020","17352119"
"Shares used in computing earnings per share:","Basic","Years ended","September 28, 2019","18471336"
"Net sales:","Products","Years ended","September 25, 2021","297392"
"Net sales:","Products","Years ended","September 26, 2020","220747"
"Net sales:","Products","Years ended","September 28, 2019","213883"
"Net sales:","Services","Years ended","September 25, 2021","68425"
"Net sales:","Services","Years ended","September 26, 2020","53768"
"Net sales:","Services","Years ended","September 28, 2019","46291"
"Total net sales","(Blank)","Years ended","September 25, 2021","365817"
"Total net sales","(Blank)","Years ended","September 26, 2020","274515"
"Total net sales","(Blank)","Years ended","September 28, 2019","260174"
"Cost of sales:","Products","Years ended","September 25, 2021","192266"
"Cost of sales:","Products","Years ended","September 26, 2020","151286"
"Cost of sales:","Products","Years ended","September 28, 2019","144996"
"Cost of sales:","Services","Years ended","September 25, 2021","20715"
"Cost of sales:","Services","Years ended","September 26, 2020","18273"
"Cost of sales:","Services","Years ended","September 28, 2019","16786"
"Total cost of sales","(Blank)","Years ended","September 25, 2021","212981"
"Total cost of sales","(Blank)","Years ended","September 26, 2020","169559"
"Total cost of sales","(Blank)","Years ended","September 28, 2019","161782"
"Gross margin","(Blank)","Years ended","September 25, 2021","152836"
"Gross margin","(Blank)","Years ended","September 26, 2020","104956"
"Gross margin","(Blank)","Years ended","September 28, 2019","98392"
"Income before provision for income taxes","Income before provision for income taxes","Years ended","September 25, 2021","109207"
"Income before provision for income taxes","Income before provision for income taxes","Years ended","September 26, 2020","67091"
"Income before provision for income taxes","Income before provision for income taxes","Years ended","September 28, 2019","65737"
"Operating income","Operating income","Years ended","September 25, 2021","108949"
"Operating income","Operating income","Years ended","September 26, 2020","66288"
"Operating income","Operating income","Years ended","September 28, 2019","63930"
"Net income","Net income","Years ended","September 25, 2021","94680"
"Net income","Net income","Years ended","September 26, 2020","57411"
"Net income","Net income","Years ended","September 28, 2019","55256"
"Operating expenses:","Selling, general and administrative","Years ended","September 25, 2021","21973"
"Operating expenses:","Selling, general and administrative","Years ended","September 26, 2020","19916"
"Operating expenses:","Selling, general and administrative","Years ended","September 28, 2019","18245"
"Operating expenses:","Research and development","Years ended","September 25, 2021","21914"
"Operating expenses:","Research and development","Years ended","September 26, 2020","18752"
"Operating expenses:","Research and development","Years ended","September 28, 2019","16217"
"Total operating expenses","(Blank)","Years ended","September 25, 2021","43887"
"Total operating expenses","(Blank)","Years ended","September 26, 2020","38668"
"Total operating expenses","(Blank)","Years ended","September 28, 2019","34462"
"Provision for income taxes","Provision for income taxes","Years ended","September 25, 2021","14527"
"Provision for income taxes","Provision for income taxes","Years ended","September 26, 2020","9680"
"Provision for income taxes","Provision for income taxes","Years ended","September 28, 2019","10481"
"Other income/(expense), net","Other income/(expense), net","Years ended","September 25, 2021","258"
"Other income/(expense), net","Other income/(expense), net","Years ended","September 26, 2020","803"
"Other income/(expense), net","Other income/(expense), net","Years ended","September 28, 2019","1807"
"Earnings per share:","Basic","Years ended","September 25, 2021","5.67"
"Earnings per share:","Basic","Years ended","September 26, 2020","3.31"
"Earnings per share:","Basic","Years ended","September 28, 2019","2.99"
"Earnings per share:","Diluted","Years ended","September 25, 2021","5.61"
"Earnings per share:","Diluted","Years ended","September 26, 2020","3.28"
"Earnings per share:","Diluted","Years ended","September 28, 2019","2.97"
