Category,SubCategory,Quarter,Month,Value Column Name,Value
"Audio","Bluetooth Headphones","Q1","Jan","Forecast","36598.8"
"Audio","Bluetooth Headphones","Q1","Jan","Actuals","34856"
"Audio","Bluetooth Headphones","Q1","Feb","Forecast","27271.65"
"Audio","Bluetooth Headphones","Q1","Feb","Actuals","25973"
"Audio","Bluetooth Headphones","Q1","Mar","Forecast","18396"
"Audio","Bluetooth Headphones","Q1","Mar","Actuals","17520"
"Audio","Bluetooth Headphones","Q2","Apr","Forecast","15340.5"
"Audio","Bluetooth Headphones","Q2","Apr","Actuals","14610"
"Audio","Bluetooth Headphones","Q2","May","Forecast","18659.55"
"Audio","Bluetooth Headphones","Q2","May","Actuals","17771"
"Audio","Bluetooth Headphones","Q2","Jun","Forecast","23700.600000000002"
"Audio","Bluetooth Headphones","Q2","Jun","Actuals",
"Audio","Bluetooth Headphones","Q3","Jul","Forecast","24420.9"
"Audio","Bluetooth Headphones","Q3","Jul","Actuals",
"Audio","Bluetooth Headphones","Q3","Aug","Forecast",
"Audio","Bluetooth Headphones","Q3","Aug","Actuals",
"Audio","Bluetooth Headphones","Q3","Sep","Forecast",
"Audio","Bluetooth Headphones","Q3","Sep","Actuals",
"Audio","Bluetooth Headphones","Q4","Oct","Forecast",
"Audio","Bluetooth Headphones","Q4","Oct","Actuals",
"Audio","Bluetooth Headphones","Q4","Nov","Forecast",
"Audio","Bluetooth Headphones","Q4","Nov","Actuals",
"Audio","Bluetooth Headphones","Q4","Dec","Forecast",
"Audio","Bluetooth Headphones","Q4","Dec","Actuals",
"Audio","MP4&MP3","Q1","Jan","Forecast",
"Audio","MP4&MP3","Q1","Jan","Actuals",
"Audio","MP4&MP3","Q1","Feb","Forecast",
"Audio","MP4&MP3","Q1","Feb","Actuals",
"Audio","MP4&MP3","Q1","Mar","Forecast",
"Audio","MP4&MP3","Q1","Mar","Actuals",
"Audio","MP4&MP3","Q2","Apr","Forecast",
"Audio","MP4&MP3","Q2","Apr","Actuals",
"Audio","MP4&MP3","Q2","May","Forecast",
"Audio","MP4&MP3","Q2","May","Actuals",
"Audio","MP4&MP3","Q2","Jun","Forecast",
"Audio","MP4&MP3","Q2","Jun","Actuals",
"Audio","MP4&MP3","Q3","Jul","Forecast",
"Audio","MP4&MP3","Q3","Jul","Actuals",
"Audio","MP4&MP3","Q3","Aug","Forecast",
"Audio","MP4&MP3","Q3","Aug","Actuals",
"Audio","MP4&MP3","Q3","Sep","Forecast",
"Audio","MP4&MP3","Q3","Sep","Actuals",
"Audio","MP4&MP3","Q4","Oct","Forecast",
"Audio","MP4&MP3","Q4","Oct","Actuals",
"Audio","MP4&MP3","Q4","Nov","Forecast",
"Audio","MP4&MP3","Q4","Nov","Actuals",
"Audio","MP4&MP3","Q4","Dec","Forecast",
"Audio","MP4&MP3","Q4","Dec","Actuals",
"Audio","REconomyrding Pen","Q1","Jan","Forecast","26093.550000000003"
"Audio","REconomyrding Pen","Q1","Jan","Actuals","24851"
"Audio","REconomyrding Pen","Q1","Feb","Forecast","21160.65"
"Audio","REconomyrding Pen","Q1","Feb","Actuals","20153"
"Audio","REconomyrding Pen","Q1","Mar","Forecast","9940.35"
"Audio","REconomyrding Pen","Q1","Mar","Actuals","9467"
"Audio","REconomyrding Pen","Q2","Apr","Forecast","18090.45"
"Audio","REconomyrding Pen","Q2","Apr","Actuals","17229"
"Audio","REconomyrding Pen","Q2","May","Forecast","18232.2"
"Audio","REconomyrding Pen","Q2","May","Actuals","17364"
"Audio","REconomyrding Pen","Q2","Jun","Forecast","17425.8"
"Audio","REconomyrding Pen","Q2","Jun","Actuals",
"Audio","REconomyrding Pen","Q3","Jul","Forecast","22814.4"
"Audio","REconomyrding Pen","Q3","Jul","Actuals",
"Audio","REconomyrding Pen","Q3","Aug","Forecast",
"Audio","REconomyrding Pen","Q3","Aug","Actuals",
"Audio","REconomyrding Pen","Q3","Sep","Forecast",
"Audio","REconomyrding Pen","Q3","Sep","Actuals",
"Audio","REconomyrding Pen","Q4","Oct","Forecast",
"Audio","REconomyrding Pen","Q4","Oct","Actuals",
"Audio","REconomyrding Pen","Q4","Nov","Forecast",
"Audio","REconomyrding Pen","Q4","Nov","Actuals",
"Audio","REconomyrding Pen","Q4","Dec","Forecast",
"Audio","REconomyrding Pen","Q4","Dec","Actuals",
"Cameras and camcorders","Camcorders","Q1","Jan","Forecast",
"Cameras and camcorders","Camcorders","Q1","Jan","Actuals",
"Cameras and camcorders","Camcorders","Q1","Feb","Forecast",
"Cameras and camcorders","Camcorders","Q1","Feb","Actuals",
"Cameras and camcorders","Camcorders","Q1","Mar","Forecast",
"Cameras and camcorders","Camcorders","Q1","Mar","Actuals",
"Cameras and camcorders","Camcorders","Q2","Apr","Forecast",
"Cameras and camcorders","Camcorders","Q2","Apr","Actuals",
"Cameras and camcorders","Camcorders","Q2","May","Forecast",
"Cameras and camcorders","Camcorders","Q2","May","Actuals",
"Cameras and camcorders","Camcorders","Q2","Jun","Forecast",
"Cameras and camcorders","Camcorders","Q2","Jun","Actuals",
"Cameras and camcorders","Camcorders","Q3","Jul","Forecast",
"Cameras and camcorders","Camcorders","Q3","Jul","Actuals",
"Cameras and camcorders","Camcorders","Q3","Aug","Forecast",
"Cameras and camcorders","Camcorders","Q3","Aug","Actuals",
"Cameras and camcorders","Camcorders","Q3","Sep","Forecast",
"Cameras and camcorders","Camcorders","Q3","Sep","Actuals",
"Cameras and camcorders","Camcorders","Q4","Oct","Forecast",
"Cameras and camcorders","Camcorders","Q4","Oct","Actuals",
"Cameras and camcorders","Camcorders","Q4","Nov","Forecast",
"Cameras and camcorders","Camcorders","Q4","Nov","Actuals",
"Cameras and camcorders","Camcorders","Q4","Dec","Forecast",
"Cameras and camcorders","Camcorders","Q4","Dec","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q1","Jan","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q1","Jan","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q1","Feb","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q1","Feb","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q1","Mar","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q1","Mar","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q2","Apr","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q2","Apr","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q2","May","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q2","May","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q2","Jun","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q2","Jun","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q3","Jul","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q3","Jul","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q3","Aug","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q3","Aug","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q3","Sep","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q3","Sep","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q4","Oct","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q4","Oct","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q4","Nov","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q4","Nov","Actuals",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q4","Dec","Forecast",
"Cameras and camcorders","Cameras & Camcorders Accessories","Q4","Dec","Actuals",
"Cameras and camcorders","Digital Cameras","Q1","Jan","Forecast",
"Cameras and camcorders","Digital Cameras","Q1","Jan","Actuals",
"Cameras and camcorders","Digital Cameras","Q1","Feb","Forecast",
"Cameras and camcorders","Digital Cameras","Q1","Feb","Actuals",
"Cameras and camcorders","Digital Cameras","Q1","Mar","Forecast",
"Cameras and camcorders","Digital Cameras","Q1","Mar","Actuals",
"Cameras and camcorders","Digital Cameras","Q2","Apr","Forecast",
"Cameras and camcorders","Digital Cameras","Q2","Apr","Actuals",
"Cameras and camcorders","Digital Cameras","Q2","May","Forecast",
"Cameras and camcorders","Digital Cameras","Q2","May","Actuals",
"Cameras and camcorders","Digital Cameras","Q2","Jun","Forecast",
"Cameras and camcorders","Digital Cameras","Q2","Jun","Actuals",
"Cameras and camcorders","Digital Cameras","Q3","Jul","Forecast",
"Cameras and camcorders","Digital Cameras","Q3","Jul","Actuals",
"Cameras and camcorders","Digital Cameras","Q3","Aug","Forecast",
"Cameras and camcorders","Digital Cameras","Q3","Aug","Actuals",
"Cameras and camcorders","Digital Cameras","Q3","Sep","Forecast",
"Cameras and camcorders","Digital Cameras","Q3","Sep","Actuals",
"Cameras and camcorders","Digital Cameras","Q4","Oct","Forecast",
"Cameras and camcorders","Digital Cameras","Q4","Oct","Actuals",
"Cameras and camcorders","Digital Cameras","Q4","Nov","Forecast",
"Cameras and camcorders","Digital Cameras","Q4","Nov","Actuals",
"Cameras and camcorders","Digital Cameras","Q4","Dec","Forecast",
"Cameras and camcorders","Digital Cameras","Q4","Dec","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q1","Jan","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q1","Jan","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q1","Feb","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q1","Feb","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q1","Mar","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q1","Mar","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q2","Apr","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q2","Apr","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q2","May","Forecast",
"Cameras and camcorders","Digital SLR Cameras","Q2","May","Actuals",
"Cameras and camcorders","Digital SLR Cameras","Q2","Jun","Forecast",
