Country,Category,SubCategory,Manufacturer,ProductName,Value Column Name,Value
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 27in L270","Sales","124644"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 27in L270","Margin","34986"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 27in L270","Margin %","28.06873977086743"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 27in L270","Total Customers","17"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 24in M240","Sales","81810"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 24in M240","Margin","6570"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 24in M240","Margin %","8.030803080308031"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 24in M240","Total Customers","14"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 21in E210","Sales","54366"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 21in E210","Margin","576"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 21in E210","Margin %","1.0594857079792517"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 21in E210","Total Customers","11"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 25.5in M255","Sales","53703"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 25.5in M255","Margin","9783"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 25.5in M255","Margin %","18.216859393329983"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 25.5in M255","Total Customers","8"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 15.5in E155","Sales","25974"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 15.5in E155","Margin","4596"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 15.5in E155","Margin %","17.694617694617694"
"United States","Home Appliances","Washers & Dryers","Contoso, Ltd","Contoso Washer & Dryer 15.5in E155","Total Customers","7"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 24in M260","Sales","78174"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 24in M260","Margin","28014"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 24in M260","Margin %","35.83544400951723"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 24in M260","Total Customers","10"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 27in L420","Sales","53040"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 27in L420","Margin","21396"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 27in L420","Margin %","40.339366515837106"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 27in L420","Total Customers","6"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 21in E214","Sales","31980"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 21in E214","Margin","-12030"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 21in E214","Margin %","-37.61726078799249"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 21in E214","Total Customers","9"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 15.5in E150","Sales","25974"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 15.5in E150","Margin","-4566"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 15.5in E150","Margin %","-17.57911757911758"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 15.5in E150","Total Customers","9"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 25.5in M350","Sales","25857"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 25.5in M350","Margin","-7083"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 25.5in M350","Margin %","-27.392969021928298"
"United States","Home Appliances","Washers & Dryers","Litware, Inc.","Litware Washer & Dryer 25.5in M350","Total Customers","6"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 27in L2700","Sales","45101"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 27in L2700","Margin","18731"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 27in L2700","Margin %","41.531229906210505"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 27in L2700","Total Customers","5"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 21in E2100","Sales","44800"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 21in E2100","Margin","10528"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 21in E2100","Margin %","23.5"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 21in E2100","Total Customers","7"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 25.5in M2550","Sales","39800"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 25.5in M2550","Margin","1370"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 25.5in M2550","Margin %","3.442211055276382"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 25.5in M2550","Total Customers","7"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 24in M2400","Sales","32742"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 24in M2400","Margin","2646"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 24in M2400","Margin %","8.081363386476086"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 24in M2400","Total Customers","6"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 15.5in E1550","Sales","2000"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 15.5in E1550","Margin","-4120"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 15.5in E1550","Margin %","-206"
"United States","Home Appliances","Washers & Dryers","Northwind Traders","NT Washer & Dryer 15.5in E1550","Total Customers","2"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 24.7CuFt X980","Sales","160000"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 24.7CuFt X980","Margin","-20200"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 24.7CuFt X980","Margin %","-12.625"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 24.7CuFt X980","Total Customers","17"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 19CuFt M760","Sales","52142"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 19CuFt M760","Margin","-26328"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 19CuFt M760","Margin %","-50.492884814544894"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 19CuFt M760","Total Customers","19"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator L1200","Sales","35200"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator L1200","Margin","-7200"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator L1200","Margin %","-20.454545454545453"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator L1200","Total Customers","4"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 9.7CuFt M560","Sales","23171"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 9.7CuFt M560","Margin","-19959"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 9.7CuFt M560","Margin %","-86.13784471969272"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 9.7CuFt M560","Total Customers","18"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 4.6CuFt E280","Sales","15000"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 4.6CuFt E280","Margin","-15600"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 4.6CuFt E280","Margin %","-104"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 4.6CuFt E280","Total Customers","19"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 3.2CuFt E160","Sales","11200"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 3.2CuFt E160","Margin","-8820"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 3.2CuFt E160","Margin %","-78.75"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 3.2CuFt E160","Total Customers","13"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 1.7CuFt E120","Sales","5850"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 1.7CuFt E120","Margin","-4710"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 1.7CuFt E120","Margin %","-80.51282051282051"
"United States","Home Appliances","Refrigerators","Litware, Inc.","Litware Refrigerator 1.7CuFt E120","Total Customers","16"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 24.7CuFt X9800","Sales","144000"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 24.7CuFt X9800","Margin","-4400"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 24.7CuFt X9800","Margin %","-3.0555555555555554"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 24.7CuFt X9800","Total Customers","14"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 19CuFt M7600","Sales","39556"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 19CuFt M7600","Margin","-18264"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 19CuFt M7600","Margin %","-46.17251491556274"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 19CuFt M7600","Total Customers","14"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 9.7CuFt M5600","Sales","22678"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 9.7CuFt M5600","Margin","-11372"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 9.7CuFt M5600","Margin %","-50.14551547755534"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 9.7CuFt M5600","Total Customers","15"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 4.6CuFt E2800","Sales","17100"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 4.6CuFt E2800","Margin","-8910"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 4.6CuFt E2800","Margin %","-52.10526315789474"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 4.6CuFt E2800","Total Customers","17"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 3.2CuFt E1600","Sales","14840"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 3.2CuFt E1600","Margin","-15190"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 3.2CuFt E1600","Margin %","-102.35849056603773"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 3.2CuFt E1600","Total Customers","21"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 1.7CuFt E1200","Sales","3510"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 1.7CuFt E1200","Margin","-3090"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 1.7CuFt E1200","Margin %","-88.03418803418803"
"United States","Home Appliances","Refrigerators","Fabrikam, Inc.","Fabrikam Refrigerator 1.7CuFt E1200","Total Customers","10"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Floor Lamp X0115","Sales","24804"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Floor Lamp X0115","Margin","20584"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Floor Lamp X0115","Margin %","82.98661506208676"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Floor Lamp X0115","Total Customers","10"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Chandelier M0815","Sales","17996"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Chandelier M0815","Margin","12584"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Chandelier M0815","Margin %","69.92665036674816"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Chandelier M0815","Total Customers","20"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Floor Lamp M0215","Sales","8475"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Floor Lamp M0215","Margin","5667"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Floor Lamp M0215","Margin %","66.86725663716814"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Floor Lamp M0215","Total Customers","9"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Wall Lamp E0215","Sales","5280"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Wall Lamp E0215","Margin","3938"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Wall Lamp E0215","Margin %","74.58333333333333"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Wall Lamp E0215","Total Customers","10"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Wall Lamp E0315","Sales","3774"
"United States","Home Appliances","Lamps","Proseware, Inc.","Proseware Wall Lamp E0315","Margin","2630"
