SubCategory,Month,Value Column Name,Value
"Water Heaters","Jan","Forecast","79007.73"
"Water Heaters","Jan","Sales","52323"
"Water Heaters","Jan","Sales - Forecast","-26684.729999999996"
"Water Heaters","Jan","(Sales - Forecast)%","-0.3377483443708609"
"Water Heaters","Feb","Forecast","63235.78"
"Water Heaters","Feb","Sales","41878"
"Water Heaters","Feb","Sales - Forecast","-21357.78"
"Water Heaters","Feb","(Sales - Forecast)%","-0.33774834437086093"
"Water Heaters","Mar","Forecast","51457.78"
"Water Heaters","Mar","Sales","34078"
"Water Heaters","Mar","Sales - Forecast","-17379.78"
"Water Heaters","Mar","(Sales - Forecast)%","-0.33774834437086093"
"Water Heaters","Apr","Forecast","29111.29"
"Water Heaters","Apr","Sales","19279"
"Water Heaters","Apr","Sales - Forecast","-9832.29"
"Water Heaters","Apr","(Sales - Forecast)%","-0.33774834437086093"
"Water Heaters","May","Forecast","29780.22"
"Water Heaters","May","Sales","19722"
"Water Heaters","May","Sales - Forecast","-10058.220000000001"
"Water Heaters","May","(Sales - Forecast)%","-0.33774834437086093"
"Water Heaters","Jun","Forecast","25544.670000000002"
"Water Heaters","Jun","Sales","16917"
"Water Heaters","Jun","Sales - Forecast","-8627.670000000002"
"Water Heaters","Jun","(Sales - Forecast)%","-0.337748344370861"
"Water Heaters","Jul","Forecast","41941.76"
"Water Heaters","Jul","Sales","27776"
"Water Heaters","Jul","Sales - Forecast","-14165.760000000002"
"Water Heaters","Jul","(Sales - Forecast)%","-0.337748344370861"
"Water Heaters","Aug","Forecast","49878.32"
"Water Heaters","Aug","Sales","33032"
"Water Heaters","Aug","Sales - Forecast","-16846.32"
"Water Heaters","Aug","(Sales - Forecast)%","-0.33774834437086093"
"Water Heaters","Sep","Forecast","69546.07"
"Water Heaters","Sep","Sales","46057"
"Water Heaters","Sep","Sales - Forecast","-23489.070000000007"
"Water Heaters","Sep","(Sales - Forecast)%","-0.337748344370861"
"Water Heaters","Oct","Forecast","94714.75"
"Water Heaters","Oct","Sales","62725"
"Water Heaters","Oct","Sales - Forecast","-31989.75"
"Water Heaters","Oct","(Sales - Forecast)%","-0.33774834437086093"
"Water Heaters","Nov","Forecast","59500.04"
"Water Heaters","Nov","Sales","39404"
"Water Heaters","Nov","Sales - Forecast","-20096.04"
"Water Heaters","Nov","(Sales - Forecast)%","-0.33774834437086093"
"Water Heaters","Dec","Forecast","75729.52"
"Water Heaters","Dec","Sales","50152"
"Water Heaters","Dec","Sales - Forecast","-25577.520000000004"
"Water Heaters","Dec","(Sales - Forecast)%","-0.337748344370861"
"Washers & Dryers","Jan","Forecast","278840.19"
"Washers & Dryers","Jan","Sales","197759"
"Washers & Dryers","Jan","Sales - Forecast","-81081.19"
"Washers & Dryers","Jan","(Sales - Forecast)%","-0.29078014184397166"
"Washers & Dryers","Feb","Forecast","147423.96"
"Washers & Dryers","Feb","Sales","104556"
"Washers & Dryers","Feb","Sales - Forecast","-42867.95999999999"
"Washers & Dryers","Feb","(Sales - Forecast)%","-0.2907801418439716"
"Washers & Dryers","Mar","Forecast","124391.60999999999"
"Washers & Dryers","Mar","Sales","88221"
"Washers & Dryers","Mar","Sales - Forecast","-36170.609999999986"
"Washers & Dryers","Mar","(Sales - Forecast)%","-0.29078014184397155"
"Washers & Dryers","Apr","Forecast","74893.56"
"Washers & Dryers","Apr","Sales","53116"
"Washers & Dryers","Apr","Sales - Forecast","-21777.559999999998"
"Washers & Dryers","Apr","(Sales - Forecast)%","-0.2907801418439716"
"Washers & Dryers","May","Forecast","129288.54"
"Washers & Dryers","May","Sales","91694"
"Washers & Dryers","May","Sales - Forecast","-37594.53999999999"
"Washers & Dryers","May","(Sales - Forecast)%","-0.2907801418439716"
"Washers & Dryers","Jun","Forecast","134615.52"
"Washers & Dryers","Jun","Sales","95472"
"Washers & Dryers","Jun","Sales - Forecast","-39143.51999999999"
"Washers & Dryers","Jun","(Sales - Forecast)%","-0.29078014184397155"
"Washers & Dryers","Jul","Forecast","115342.23"
"Washers & Dryers","Jul","Sales","81803"
"Washers & Dryers","Jul","Sales - Forecast","-33539.229999999996"
"Washers & Dryers","Jul","(Sales - Forecast)%","-0.2907801418439716"
"Washers & Dryers","Aug","Forecast","224017.97999999998"
"Washers & Dryers","Aug","Sales","158878"
"Washers & Dryers","Aug","Sales - Forecast","-65139.97999999998"
"Washers & Dryers","Aug","(Sales - Forecast)%","-0.29078014184397155"
"Washers & Dryers","Sep","Forecast","317132.97"
"Washers & Dryers","Sep","Sales","224917"
"Washers & Dryers","Sep","Sales - Forecast","-92215.96999999997"
"Washers & Dryers","Sep","(Sales - Forecast)%","-0.29078014184397155"
"Washers & Dryers","Oct","Forecast","232235.46"
"Washers & Dryers","Oct","Sales","164706"
"Washers & Dryers","Oct","Sales - Forecast","-67529.45999999999"
"Washers & Dryers","Oct","(Sales - Forecast)%","-0.2907801418439716"
"Washers & Dryers","Nov","Forecast","257356.02"
"Washers & Dryers","Nov","Sales","182522"
"Washers & Dryers","Nov","Sales - Forecast","-74834.01999999999"
"Washers & Dryers","Nov","(Sales - Forecast)%","-0.2907801418439716"
"Washers & Dryers","Dec","Forecast","191583.75"
"Washers & Dryers","Dec","Sales","135875"
"Washers & Dryers","Dec","Sales - Forecast","-55708.75"
"Washers & Dryers","Dec","(Sales - Forecast)%","-0.2907801418439716"
"Refrigerators","Jan","Forecast","61244.84"
"Refrigerators","Jan","Sales","98782"
"Refrigerators","Jan","Sales - Forecast","37537.16"
"Refrigerators","Jan","(Sales - Forecast)%","0.6129032258064517"
"Refrigerators","Feb","Forecast","17393.48"
"Refrigerators","Feb","Sales","28054"
"Refrigerators","Feb","Sales - Forecast","10660.52"
"Refrigerators","Feb","(Sales - Forecast)%","0.6129032258064516"
"Refrigerators","Mar","Forecast","30284.52"
"Refrigerators","Mar","Sales","48846"
"Refrigerators","Mar","Sales - Forecast","18561.48"
"Refrigerators","Mar","(Sales - Forecast)%","0.6129032258064516"
"Refrigerators","Apr","Forecast","11492.32"
"Refrigerators","Apr","Sales","18536"
"Refrigerators","Apr","Sales - Forecast","7043.68"
"Refrigerators","Apr","(Sales - Forecast)%","0.6129032258064516"
"Refrigerators","May","Forecast","21149.44"
"Refrigerators","May","Sales","34112"
"Refrigerators","May","Sales - Forecast","12962.560000000001"
"Refrigerators","May","(Sales - Forecast)%","0.6129032258064517"
"Refrigerators","Jun","Forecast","60439.46"
"Refrigerators","Jun","Sales","97483"
"Refrigerators","Jun","Sales - Forecast","37043.54"
"Refrigerators","Jun","(Sales - Forecast)%","0.6129032258064516"
"Refrigerators","Jul","Forecast","48539.8"
"Refrigerators","Jul","Sales","78290"
"Refrigerators","Jul","Sales - Forecast","29750.199999999997"
"Refrigerators","Jul","(Sales - Forecast)%","0.6129032258064515"
"Refrigerators","Aug","Forecast","55862"
"Refrigerators","Aug","Sales","90100"
"Refrigerators","Aug","Sales - Forecast","34238"
"Refrigerators","Aug","(Sales - Forecast)%","0.6129032258064516"
"Refrigerators","Sep","Forecast","67281.78"
"Refrigerators","Sep","Sales","108519"
"Refrigerators","Sep","Sales - Forecast","41237.22"
"Refrigerators","Sep","(Sales - Forecast)%","0.6129032258064516"
"Refrigerators","Oct","Forecast","88567"
"Refrigerators","Oct","Sales","142850"
"Refrigerators","Oct","Sales - Forecast","54283"
"Refrigerators","Oct","(Sales - Forecast)%","0.6129032258064516"
"Refrigerators","Nov","Forecast","75595.36"
"Refrigerators","Nov","Sales","121928"
"Refrigerators","Nov","Sales - Forecast","46332.64"
"Refrigerators","Nov","(Sales - Forecast)%","0.6129032258064516"
"Refrigerators","Dec","Forecast","53309.46"
"Refrigerators","Dec","Sales","85983"
"Refrigerators","Dec","Sales - Forecast","32673.54"
"Refrigerators","Dec","(Sales - Forecast)%","0.6129032258064516"
"Projectors & Screens","Jan","Forecast","216234.06"
"Projectors & Screens","Jan","Sales","147098"
"Projectors & Screens","Jan","Sales - Forecast","-69136.06"
"Projectors & Screens","Jan","(Sales - Forecast)%","-0.31972789115646255"
"Projectors & Screens","Feb","Forecast","131047.56"
"Projectors & Screens","Feb","Sales","89148"
"Projectors & Screens","Feb","Sales - Forecast","-41899.56"
"Projectors & Screens","Feb","(Sales - Forecast)%","-0.31972789115646255"
"Projectors & Screens","Mar","Forecast","61488.63"
"Projectors & Screens","Mar","Sales","41829"
"Projectors & Screens","Mar","Sales - Forecast","-19659.629999999997"
"Projectors & Screens","Mar","(Sales - Forecast)%","-0.31972789115646255"
"Projectors & Screens","Apr","Forecast","80035.62"
"Projectors & Screens","Apr","Sales","54446"
"Projectors & Screens","Apr","Sales - Forecast","-25589.619999999995"
"Projectors & Screens","Apr","(Sales - Forecast)%","-0.31972789115646255"
"Projectors & Screens","May","Forecast","77651.28"
"Projectors & Screens","May","Sales","52824"
"Projectors & Screens","May","Sales - Forecast","-24827.28"
"Projectors & Screens","May","(Sales - Forecast)%","-0.31972789115646255"
"Projectors & Screens","Jun","Forecast","51417.659999999996"
"Projectors & Screens","Jun","Sales","34978"
"Projectors & Screens","Jun","Sales - Forecast","-16439.659999999996"
"Projectors & Screens","Jun","(Sales - Forecast)%","-0.31972789115646255"
"Projectors & Screens","Jul","Forecast","91419.3"
"Projectors & Screens","Jul","Sales","62190"
"Projectors & Screens","Jul","Sales - Forecast","-29229.300000000003"
"Projectors & Screens","Jul","(Sales - Forecast)%","-0.3197278911564626"
"Projectors & Screens","Aug","Forecast","105343.14"
"Projectors & Screens","Aug","Sales","71662"
"Projectors & Screens","Aug","Sales - Forecast","-33681.14"
"Projectors & Screens","Aug","(Sales - Forecast)%","-0.3197278911564626"
"Projectors & Screens","Sep","Forecast","147291.06"
"Projectors & Screens","Sep","Sales","100198"
"Projectors & Screens","Sep","Sales - Forecast","-47093.06"
"Projectors & Screens","Sep","(Sales - Forecast)%","-0.31972789115646255"
"Projectors & Screens","Oct","Forecast","176801.31"
"Projectors & Screens","Oct","Sales","120273"
"Projectors & Screens","Oct","Sales - Forecast","-56528.31"
"Projectors & Screens","Oct","(Sales - Forecast)%","-0.31972789115646255"
"Projectors & Screens","Nov","Forecast","144021.78"
"Projectors & Screens","Nov","Sales","97974"
"Projectors & Screens","Nov","Sales - Forecast","-46047.78"
"Projectors & Screens","Nov","(Sales - Forecast)%","-0.3197278911564626"
"Projectors & Screens","Dec","Forecast","146920.62"
"Projectors & Screens","Dec","Sales","99946"
"Projectors & Screens","Dec","Sales - Forecast","-46974.619999999995"
"Projectors & Screens","Dec","(Sales - Forecast)%","-0.31972789115646255"
"Printers, Scanners & Fax","Jan","Forecast","63577.649999999994"
"Printers, Scanners & Fax","Jan","Sales","29571"
"Printers, Scanners & Fax","Jan","Sales - Forecast","-34006.649999999994"
"Printers, Scanners & Fax","Jan","(Sales - Forecast)%","-0.5348837209302325"
"Printers, Scanners & Fax","Feb","Forecast","32761.699999999997"
"Printers, Scanners & Fax","Feb","Sales","15238"
"Printers, Scanners & Fax","Feb","Sales - Forecast","-17523.699999999997"
"Printers, Scanners & Fax","Feb","(Sales - Forecast)%","-0.5348837209302325"
"Printers, Scanners & Fax","Mar","Forecast","22063.3"
"Printers, Scanners & Fax","Mar","Sales","10262"
"Printers, Scanners & Fax","Mar","Sales - Forecast","-11801.3"
"Printers, Scanners & Fax","Mar","(Sales - Forecast)%","-0.5348837209302325"
"Printers, Scanners & Fax","Apr","Forecast","22699.7"
"Printers, Scanners & Fax","Apr","Sales","10558"
"Printers, Scanners & Fax","Apr","Sales - Forecast","-12141.7"
"Printers, Scanners & Fax","Apr","(Sales - Forecast)%","-0.5348837209302326"
"Printers, Scanners & Fax","May","Forecast","19754.2"
"Printers, Scanners & Fax","May","Sales","9188"
"Printers, Scanners & Fax","May","Sales - Forecast","-10566.2"
"Printers, Scanners & Fax","May","(Sales - Forecast)%","-0.5348837209302326"
"Printers, Scanners & Fax","Jun","Forecast","23574.75"
"Printers, Scanners & Fax","Jun","Sales","10965"
"Printers, Scanners & Fax","Jun","Sales - Forecast","-12609.75"
"Printers, Scanners & Fax","Jun","(Sales - Forecast)%","-0.5348837209302325"
"Printers, Scanners & Fax","Jul","Forecast","39970.65"
"Printers, Scanners & Fax","Jul","Sales","18591"
"Printers, Scanners & Fax","Jul","Sales - Forecast","-21379.65"
"Printers, Scanners & Fax","Jul","(Sales - Forecast)%","-0.5348837209302326"
"Printers, Scanners & Fax","Aug","Forecast","49572.549999999996"
"Printers, Scanners & Fax","Aug","Sales","23057"
"Printers, Scanners & Fax","Aug","Sales - Forecast","-26515.549999999996"
"Printers, Scanners & Fax","Aug","(Sales - Forecast)%","-0.5348837209302325"
"Printers, Scanners & Fax","Sep","Forecast","58353.149999999994"
"Printers, Scanners & Fax","Sep","Sales","27141"
"Printers, Scanners & Fax","Sep","Sales - Forecast","-31212.149999999994"
"Printers, Scanners & Fax","Sep","(Sales - Forecast)%","-0.5348837209302325"
"Printers, Scanners & Fax","Oct","Forecast","52315.95"
"Printers, Scanners & Fax","Oct","Sales","24333"
"Printers, Scanners & Fax","Oct","Sales - Forecast","-27982.949999999997"
"Printers, Scanners & Fax","Oct","(Sales - Forecast)%","-0.5348837209302325"
"Printers, Scanners & Fax","Nov","Forecast","43722.4"
"Printers, Scanners & Fax","Nov","Sales","20336"
"Printers, Scanners & Fax","Nov","Sales - Forecast","-23386.4"
"Printers, Scanners & Fax","Nov","(Sales - Forecast)%","-0.5348837209302326"
"Printers, Scanners & Fax","Dec","Forecast","43079.549999999996"
"Printers, Scanners & Fax","Dec","Sales","20037"
"Printers, Scanners & Fax","Dec","Sales - Forecast","-23042.549999999996"
"Printers, Scanners & Fax","Dec","(Sales - Forecast)%","-0.5348837209302325"
"Monitors","Jan","Forecast","7993.32"
"Monitors","Jan","Sales","66611"
"Monitors","Jan","Sales - Forecast","58617.68"
"Monitors","Jan","(Sales - Forecast)%","7.333333333333334"
"Monitors","Feb","Forecast","5708.28"
"Monitors","Feb","Sales","47569"
"Monitors","Feb","Sales - Forecast","41860.72"
