Business Area,Cost element name,Cost Element Group,Cost Element Sub Group,Value Column Name,Value
"Infrastructure","Outsourcing","Administrative","Administrative","LE1",
"Infrastructure","Outsourcing","CAPEX","CAPEX","LE1",
"Infrastructure","Outsourcing","Depr & Amort","Amortization","LE1",
"Infrastructure","Outsourcing","Depr & Amort","Depreciation","LE1",
"Infrastructure","Outsourcing","Hardware & Software","Hardware","LE1",
"Infrastructure","Outsourcing","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Outsourcing","Hardware & Software","Software","LE1",
"Infrastructure","Outsourcing","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Outsourcing","Labor","External Labor","LE1","17446428.021059986"
"Infrastructure","Outsourcing","Labor","Internal Labor","LE1",
"Infrastructure","Outsourcing","Other","Employee Performance","LE1",
"Infrastructure","Outsourcing","Other","Legal","LE1",
"Infrastructure","Outsourcing","Other","Moving","LE1",
"Infrastructure","Outsourcing","Other","Other","LE1",
"Infrastructure","Outsourcing","Other","Project Expenses","LE1",
"Infrastructure","Outsourcing","Other","Recognition","LE1",
"Infrastructure","Outsourcing","Other","Severance","LE1",
"Infrastructure","Outsourcing","Other","Supplies","LE1",
"Infrastructure","Outsourcing","Other","Taxes","LE1",
"Infrastructure","Outsourcing","Other","Telecomm","LE1",
"Infrastructure","Outsourcing","Other","Training","LE1",
"Infrastructure","Outsourcing","Other","Travel","LE1",
"Infrastructure","Outsourcing","Other","Vehicles","LE1",
"Infrastructure","Outsourcing","Shared Services","Inbound Allocations","LE1",
"Infrastructure","Outsourcing","Shared Services","Outbound Allocations","LE1",
"Infrastructure","Professional Services","Administrative","Administrative","LE1",
"Infrastructure","Professional Services","CAPEX","CAPEX","LE1",
"Infrastructure","Professional Services","Depr & Amort","Amortization","LE1",
"Infrastructure","Professional Services","Depr & Amort","Depreciation","LE1",
"Infrastructure","Professional Services","Hardware & Software","Hardware","LE1",
"Infrastructure","Professional Services","Hardware & Software","Hardware Maintenance","LE1",
"Infrastructure","Professional Services","Hardware & Software","Software","LE1",
"Infrastructure","Professional Services","Hardware & Software","Software Maintenance","LE1",
"Infrastructure","Professional Services","Labor","External Labor","LE1","12882545.413799977"
"Infrastructure","Professional Services","Labor","Internal Labor","LE1",
"Infrastructure","Professional Services","Other","Employee Performance","LE1",
"Infrastructure","Professional Services","Other","Legal","LE1",
"Infrastructure","Professional Services","Other","Moving","LE1",
"Infrastructure","Professional Services","Other","Other","LE1",
"Infrastructure","Professional Services","Other","Project Expenses","LE1",
"Infrastructure","Professional Services","Other","Recognition","LE1",
